id,accommodates,latitude,longitude,kmeans_cluster,sub_cluster
A619443982927989540,2,34.02921320092057,-118.49542698131566,17,17_0
A619460792990851860,2,34.67459,-118.42906,32,32
A619466323570082013,4,33.7654,-118.39048,20,20
A619504558297434992,2,34.04291,-118.25366,9,9_5
A624685229635376519,2,34.097,-118.36784,0,0_0
A624703275939442306,4,33.95557,-118.38418,25,25_2
A624731959835508689,16,34.07767,-118.40068,0,0_1
A624733822961708871,2,34.13083,-118.63525,28,28
A624740463729133283,2,34.221649,-118.528458,3,3
A624767679543588788,2,34.14116,-118.62119,28,28
A624771945804256374,4,34.04265,-118.25825,9,9_5
A624773793834007261,10,34.11,-118.3654,21,21_0
A624796462493516393,3,33.746685,-118.387962,20,20
A624801552071190591,2,34.06186,-118.37227,0,0_3
A619522170137319366,4,33.96291,-118.11751,34,34
A622356929710229633,2,33.8497,-118.3875,13,13
A622468676109648896,4,34.197304,-118.396187,19,19
A622551062786094071,6,34.250237,-118.577492,3,3
A622558412459938064,4,34.40904,-118.41809,14,14
A622732345012662266,8,33.97609892047191,-118.46288221223956,17,17_2
A623005174990150922,4,34.0036,-118.43021,4,4
A623066626854944511,8,34.08076,-117.83122,24,24
A623077684902888179,8,33.77349,-118.14398,2,2
A623104420546633303,14,33.78327,-118.26195,20,20
A623148121913450506,10,34.18282,-118.55829,3,3
